Slide #,Slide Mount Date,Subject,Slide Mount Notation,Scanned
7001,Nov-91,,,X
7002,Dec-91,,,X
7003,Nov-91,,,X
7004,Nov-91,,,X
7005,Nov-91,,,X
7006,Nov-91,,,X
7007,Nov-91,,,X
7008,Nov-91,,,X
7009,Nov-91,,,X
7010,Nov-91,,,X
7011,Nov-91,,,X
7012,Nov-91,,,X
7013,Nov-91,,,X
7014,Nov-91,,,X
7015,Nov-91,,,X
7016,Nov-91,,,X
7017,Nov-91,,,X
7018,Nov-91,,,X
7019,Nov-91,,,X
7020,Nov-91,,out of focus,X
7021,Nov-91,,,X
7022,Nov-91,,,X
7023,Nov-91,,,X
7024,Nov-91,,,X
7025,Nov-91,,,X
7026,Nov-91,,,X
7027,Nov-91,,,X
7028,Nov-91,,,X
7029,Nov-91,,,X
7030,Nov-91,,,X
7031,Nov-91,,,X
7032,Nov-91,,,X
7033,Nov-91,,,X
7034,Nov-91,,,X
7035,Nov-91,,,X
7036,Nov-91,,,X
7037,Nov-91,,,X
7038,Nov-91,,,X
7039,Nov-91,,,X
7040,Nov-91,,,X
7041,Nov-91,,,X
7042,Nov-91,pagoda,Sapporo,X
7043,Nov-91,,,X
7044,Nov-91,,,X
7045,Nov-91,,,X
7046,Nov-91,,,X
7047,Nov-91,,,X
7048,Nov-91,,,X
7049,Nov-91,,,X
7050,Nov-91,,,X
7051,Nov-91,,,X
7052,Nov-91,,,X
7053,Nov-91,,,X
7054,Nov-91,,,X
7055,Nov-91,,tea house    flyer 1992,X
7056,Nov-91,,below moonbridge,X
7057,Nov-91,,,X
7058,Nov-91,,,X
7059,Nov-91,,,X
7060,Nov-91,,,X
7061,Nov-91,,,X
7062,Nov-91,,,X
7063,Nov-91,,,X
7064,Nov-91,,,X
7065,Nov-91,,,X
7066,Nov-91,,,X
7067,Nov-91,,,X
7068,Nov-91,,,X
7069,Nov-91,,,X
7070,Nov-91,,,X
7071,Nov-91,,,X
7072,Nov-91,,,X
7073,Nov-91,,fog  flat garden,X
7074,Nov-91,,,X
7075,Nov-91,,,X
7076,Nov-91,,,X
7077,Nov-91,,,X
7078,Nov-91,,,X
7079,Nov-91,,,X
7080,Nov-91,,,X
7081,Nov-91,,,X
7082,Nov-91,,,X
7083,Nov-91,,,X
7084,Nov-91,,,X
7085,Nov-91,,,X
7086,Nov-91,,,X
7087,Nov-91,,,X
7088,Nov-91,,,X
7089,Nov-91,,,X
7090,Nov-91,,,X
7091,Nov-91,,,X
7092,Nov-91,,,X
7093,Nov-91,,,X
7094,Nov-91,,view to ticket gate,X
7095,Nov-91,,,X
7096,Nov-91,,,X
7097,Nov-91,,,X
7098,Nov-91,,,X
7099,Nov-91,,,X
7100,Nov-91,,,X
7101,Nov-91,,,X
7102,Nov-91,,XXXXX,X
7103,Nov-91,,,X
7104,Nov-91,,,X
7105,Nov-91,,,X
7106,Nov-91,,,X
7107,Nov-91,,XXX    Antique gate,X
7108,Nov-91,,,X
7109,Nov-91,,,X
7110,Nov-91,,,X
7111,Nov-91,,,X
7112,Nov-91,,,X
7113,Nov-91,,,X
7114,Nov-91,,,X
7115,Dec-91,,,X
7116,Dec-91,,,X
7117,Aug-90,,,X
7118,Jan-92,,,X
7119,Apr-92,,,X
7120,Apr-92,,,X
7121,Apr-92,,,X
7122,Apr-92,,,X
7123,Apr-92,,,X
7124,Apr-92,,,X
7125,Apr-92,,,X
7126,Apr-92,,,X
7127,Apr-92,,,X
7128,Apr-92,,,X
7129,Apr-92,,,X
7130,Apr-92,,,X
7131,Apr-92,,,X
7132,Apr-92,,,X
7133,Apr-92,,,X
7134,Apr-92,,,X
7135,Apr-92,,,X
7136,Apr-92,,,X
7137,Apr-92,,,X
7138,Apr-92,,,X
7139,Apr-92,,book,X
7140,Apr-92,,flat garden weeping cherry,X
7141,Apr-92,,,X
7142,Apr-92,,,X
7143,Apr-92,,Apr-92,X
7144,Apr-92,,,X
7145,Apr-92,,,X
7146,Apr-92,,,X
7147,Apr-92,,,X
7148,Apr-92,,,X
7149,Apr-92,,,X
7150,Apr-92,,,X
7151,Apr-92,,,X
7152,Apr-92,,,X
7153,Apr-92,,,X
7154,Apr-92,,,X
7155,Apr-92,,,X
7156,Apr-92,,cherry flat garden,X
7157,Apr-92,,,X
7158,Apr-92,,,X
7159,Apr-92,,,X
7160,Apr-92,,Jim,X
7161,Apr-92,,Marcus,X
7162,Apr-92,,Umbrella pine from Emporer's palace,X
7163,Apr-92,,,X
7164,Apr-92,,,X
7165,Apr-92,,,X
7166,Apr-92,,,X
7167,Apr-92,,,X
7168,Apr-92,,,X
7169,Apr-92,,,X
7170,Apr-92,,,X
7171,Apr-92,,,X
7172,Apr-92,,,X
7173,Apr-92,,,X
7174,Apr-92,,,X
7175,Apr-92,,,X
7176,Apr-92,,,X
7177,Apr-92,,,X
7178,Apr-92,,,X
7179,Apr-92,,,X
7180,Apr-92,,,X
7181,Apr-92,,,X
7182,Apr-92,,,X
7183,Apr-92,,,X
7184,Apr-92,,,X
7185,Apr-92,,,X
7186,Apr-92,,,X
7187,Apr-92,,,X
7188,Apr-92,,,X
7189,Apr-92,,,X
7190,Apr-92,,,X
7191,Apr-92,,,X
7192,Apr-92,,,X
7193,Apr-92,,,X
7194,Apr-92,,,X
7195,Apr-92,,,X
7196,Apr-92,,,X
7197,Apr-92,,,X
7198,Apr-92,,,X
7199,May-92,,,X
7200,May-92,,,X
7201,May-92,,,X
7202,May-92,,,X
7203,May-92,,,X
7204,May-92,,,X
7205,May-92,,,X
7206,May-92,,,X
7207,May-92,,,X
7208,May-92,,,X
7209,May-92,,,X
7210,May-92,,,X
7211,May-92,,,X
7212,May-92,,,X
7213,May-92,,,X
7214,May-92,,,X
7215,May-92,,,X
7216,May-92,,,X
7217,May-92,,,X
7218,May-92,,,X
7219,May-92,,,X
7220,May-92,,,X
7221,May-92,,,X
7222,May-92,,,X
7223,May-92,,,X
7224,May-92,,,X
7225,May-92,,,X
7226,May-92,,,X
7227,May-92,,,X
7228,May-92,,,X
7229,May-92,,13-10-14,X
7230,May-92,,,X
7231,May-92,,,X
7232,May-92,,,X
7233,May-92,,,X
7234,May-92,,,X
7235,May-92,,,X
7236,May-92,,5 10 10  16 1/2 ,X
7237,May-92,,5 10 10  16 1/2 ,X
7238,May-92,,5 10 13  16 1/2 ,X
7239,May-92,,,X
7240,May-92,,,X
7241,May-92,,,X
7242,May-92,,5 10 10 11-16,X
7243,May-92,,,X
7244,May-92,,,X
7245,May-92,,,X
7246,May-92,,,X
7247,May-92,,,X
7248,May-92,,,X
7249,Jun-92,,,X
7250,Jun-92,,,X
7251,Jun-92,,,X
7252,Jun-92,,,X
7253,Jun-92,,,X
7254,Jun-92,,,X
7255,Jun-92,,,X
7256,Jun-92,,Jun-92,X
7257,Jun-92,,,X
7258,Jul-92,,,X
7259,Jun-92,,,X
7260,Jun-92,,,X
7261,Jul-92,,,X
7262,Jul-92,,,X
7263,Jul-92,,,X
7264,Jul-92,,,X
7265,Jul-92,,,X
7266,Jul-92,,lower pond    Japanese iris,X
7267,Jul-92,,,X
7268,Jul-92,,,X
7269,Jul-92,,,X
7270,Jul-92,,,X
7271,Jul-92,,,X
7272,Jul-92,,,X
7273,Jul-92,,,X
7274,Jul-92,,,X
7275,Jul-92,,,X
7276,Jul-92,,,X
7277,Jul-92,,,X
7278,Jul-92,,,X
7279,Jul-92,,,X
7280,Jul-92,,,X
7281,Jul-92,,,X
7282,Jul-92,,,X
7283,Jul-92,,,X
7284,Jul-92,,,X
7285,Jul-92,,,X
7286,Jul-92,,,X
7287,Jul-92,,,X
7288,Jul-92,,,X
7289,Jul-92,,,X
7290,Jul-92,,,X
7291,Jul-92,,,X
7292,Aug-92,,,X
7293,Aug-92,,,X
7294,Aug-92,,,X
7295,Aug-92,,0 30 10   11 - 16,X
7296,Aug-92,,,X
7297,Aug-92,,,X
7298,Aug-92,,,X
7299,Aug-92,,see 7301-7302-7303,X
7300,Jul-92,,,X
7301,Aug-92,,15 20 10 8-11,X
7302,Aug-92,,15 20 10  11-16,X
7303,Aug-92,,,X
7304,Aug-92,,,X
7305,Aug-92,,,X
7306,Aug-92,,,X
7307,Aug-92,,,X
7308,Aug-92,,,X
7309,Aug-92,,,X
7310,Aug-92,,,X
7311,Aug-92,,,X
7312,Aug-92,,,X
7313,Aug-92,,,X
7314,Aug-92,,,X
7315,Aug-92,,,X
7316,Aug-92,,,X
7317,Aug-92,,,X
7318,Aug-92,,,X
7319,Aug-92,,,X
7320,Aug-92,,,X
7321,Aug-92,,,X
7322,Aug-92,,,X
7323,Aug-92,,,X
7324,Nov-92,,,X
7325,Nov-92,,,X
7326,Nov-92,,,X
7327,Nov-92,,,X
7328,Nov-92,,,X
7329,Nov-92,,,X
7330,Nov-92,,,X
7331,Nov-92,,,X
7332,Nov-92,,,X
7333,Nov-92,,,X
7334,Nov-92,,,X
7335,Nov-92,,,X
7336,Nov-92,,,X
7337,Nov-92,,,X
7338,Nov-92,,,X
7339,Nov-92,,,X
7340,Nov-92,,,X
7341,Nov-92,,,X
7342,Nov-92,,,X
7343,Nov-92,,,X
7344,Nov-92,,,X
7345,Nov-92,,,X
7346,Nov-92,,,X
7347,Nov-92,,,X
7348,Nov-92,,,X
7349,Nov-92,,,X
7350,Nov-92,,,X
7351,Nov-92,,,X
7352,Nov-92,,,X
7353,Dec-92,,,X
7354,Dec-92,,,X
7355,Dec-92,,,X
7356,Dec-92,,,X
7357,Dec-92,,,X
7358,Dec-92,,,X
7359,Dec-92,,,X
7360,Dec-92,,,X
7361,Dec-92,,,X
7362,Dec-92,,,X
7363,Dec-92,,,X
7364,Dec-92,,,X
7365,Dec-92,,,X
7366,Dec-92,,,X
7367,Dec-92,,,X
7368,Dec-92,,,X
7369,Dec-92,,,X
7370,Dec-92,,,X
7371,Dec-92,,,X
7372,Dec-92,,,X
7373,Dec-92,,,X
7374,Dec-92,,,X
7375,Feb-93,,,X
7376,Feb-93,,,X
7377,Feb-93,,,X
7378,Feb-93,,,X
7379,Feb-93,,,X
7380,Feb-93,,,X
7381,Feb-93,,,X
7382,Feb-93,,,X
7383,Feb-93,,,X
7384,Feb-93,,,X
7385,Feb-93,,,X
7386,Feb-93,,,X
7387,Feb-93,,,X
7388,Apr-93,,,X
7389,Apr-93,,,X
7390,Apr-93,,"Masa, Bob Franz, Dr. Ueno, Fred White",X
7391,Apr-93,,Jerry White,X
7392,Apr-93,,Jerry White,X
7393,Apr-93,,,X
7394,Apr-93,,,X
7395,Apr-93,,,X
7396,Jul-93,,,X
7397,,,,X
7398,Jul-93,,,X
7399,Jul-93,,,X
7400,Jul-93,,,X
7401,Jul-93,,,X
7402,Jul-93,,,X
7403,Jul-93,,,X
7404,Jul-93,,,X
7405,Jul-93,,,X
7406,Jul-93,,,X
7407,Jul-93,,,X
7408,Jul-93,,"Boone Canyon stone    Lonerock, OR",X
7409,Jul-93,,,X
7410,Jul-93,,Jerry White,X
7411,Jul-93,,,X
7412,Jul-93,,,X
7413,Jul-93,,,X
7414,Jul-93,,,X
7415,Jul-93,,,X
7416,Jul-93,,,X
7417,Jul-93,,,X
7418,Jul-93,,,X
7419,Jul-93,,,X
7420,Jul-93,,,X
7421,Jul-93,,,X
7422,Jul-93,,,X
7423,Jul-93,,,X
7424,Jul-93,,,X
7425,Jul-93,,,X
7426,Jul-93,,,X
7427,Jul-93,,,X
7428,Jul-93,,,X
7429,Jul-93,,,X
7430,Jul-93,,,X
7431,Jul-93,,,X
7432,Jul-93,,,X
7433,Jul-93,,,X
7434,Jul-93,,,X
7435,Jul-93,,,X
7436,Jul-93,,,X
7437,Jul-93,,,X
7438,Jul-93,,,X
7439,Jul-93,,,X
7440,Jul-93,,,X
7441,Jul-93,,,X
7442,Jul-93,,,X
7443,Jul-93,,,X
7444,Jul-93,,,X
7445,Jul-93,,,X
7446,Jul-93,,,X
7447,Jul-93,,,X
7448,Jul-93,,,X
7449,Jul-93,,,X
7450,Jul-93,,,X
7451,Jul-93,,,X
7452,Jul-93,,,X
7453,Jul-93,,,X
7454,Jul-93,,,X
7455,Jul-93,,,X
7456,Jul-93,,,X
7457,Jul-93,,,X
7458,Jul-93,,,X
7459,Jul-93,,,X
7460,Jul-93,,,X
7461,Jul-93,,,X
7462,Jul-93,,,X
7463,Jul-93,,,X
7464,Jul-93,,,X
7465,Jul-93,,,X
7466,Jul-93,,planting near pavilion,X
7467,Jul-93,,,X
7468,Jul-93,,,X
7469,Jul-93,,,X
7470,Jul-93,,,X
7471,Jul-93,,,X
7472,Jul-93,,,X
7473,Jul-93,,,X
7474,Jul-93,,,X
7475,Jul-93,,,X
7476,Jul-93,,Bigfoot shoe heel at bottom of slide,X
