Slide #,Mount Date,Subject,Slide Mount Notation,Scanned
1204,Jan-79,snow/ice scenes in garden,(very underexposed),X
1205,Jan-79,snow/ice scenes in garden,(very underexposed),X
1206,Jan-79,snow/ice scenes in garden,(very underexposed),X
1207,Jan-79,snow & ice scenes in garden,(very underexposed),X
1208,Jan-79,snow/ice scenes in garden,(very underexposed),X
1209,Jan-79,snow/ice scenes in garden,(very underexposed),X
1210,Jan-79,snow/ice scenes in garden,(very underexposed),X
1211,Jan-79,snow/ice scenes in garden,(very underexposed),X
1212,Jan-79,snow/ice scenes in garden,(very underexposed),X
1213,Jan-79,snow/ice scenes in garden,(very underexposed),X
1214,Jan-79,snow/ice scenes in garden,(very underexposed),X
1215,Jan-79,snow/ice scenes in garden,(very underexposed),X
1216,Jan-79,snow/ice scenes in garden,(very underexposed),X
1217,Jan-79,snow/ice scenes in garden,(very underexposed),X
1218,Jan-79,snow/ice scenes in garden,(very underexposed),X
1219,Jan-79,snow/ice scenes in garden,(very underexposed),X
1220,Jan-79,snow/ice scenes in garden,(very underexposed),X
1221,Jan-79,snow/ice scenes in garden,(very underexposed),X
1222,Jan-79,snow/ice scenes in garden,(very underexposed),X
1223,Jan-79,snow/ice scenes in garden,(very underexposed),X
1224,Jan-79,snow/ice scenes in garden,(very underexposed),X
1225,Jan-79,snow/ice scenes in garden,(very underexposed),X
1226,Mar-74,,,X
1227,Mar-74,,,X
1228,Mar-74,,,X
1229,Mar-74,,,X
1230,Mar-74,,,X
1231,Mar-74,,,X
1232,Mar-74,,,X
1233,Mar-74,,,X
1234,Mar-74,,,X
1235,Mar-74,,,X
1236,Mar-74,,,X
1237,Mar-74,,,X
1238,Mar-74,,,X
1239,Mar-74,,,X
1240,Mar-74,,,X
1241,Mar-74,,,X
1242,Mar-74,,,X
1243,Mar-74,,,X
1244,Mar-74,,,X
1245,Jan-74,,donated slide     Tea house fall color,X
1246,Jan-74,,donated slide     Cranes,X
1247,Feb-74,,donated slide     Sapporo lantern,X
1248,Mar-74,,,X
1249,Mar-74,,,X
1250,Mar-74,,,X
1251,Mar-74,,,X
1252,Mar-74,,,X
1253,Mar-74,,,X
1254,Mar-74,,,X
1255,Mar-74,,,X
1256,Mar-74,,,X
1257,Mar-74,,,X
1258,Mar-74,,,X
1259,Mar-74,,,X
1260,Mar-74,,,X
1261,Mar-74,,,X
1262,Mar-74,,,X
1263,Mar-74,,,X
1264,Mar-74,,,X
1265,Mar-74,,,X
1266,Mar-74,,,X
1267,Mar-73,,,X
1268,Mar-73,,,X
1269,Mar-73,,,X
1270,Mar-73,,,X
1271,Mar-73,,,X
1272,May-74,,,X
1273,May-74,,,X
1274,May-74,,,X
1275,May-74,,,X
1276,May-74,,,X
1277,May-74,,,X
1278,May-74,,trimmed hinodegiri,X
1279,May-74,,,X
1280,May-74,,,X
1281,May-74,,,X
1282,May-74,,,X
1283,May-74,,50 macrantha in mass planting,X
1284,May-74,,Pinus thumbergeri    Japanese black pine,X
1285,May-74,,,X
1286,May-74,,,X
1287,May-74,,,X
1288,May-74,,,X
1289,May-74,,,X
1290,May-74,,,X
1291,May-74,,,X
1292,May-74,,,X
1293,May-74,,,X
1294,May-74,,,X
1295,May-74,,,X
1296,May-74,,,X
1297,May-74,,,X
1298,May-74,,,X
1299,May-74,,,X
1300,May-74,,,X
1301,May-74,,,X
1302,May-74,,,X
1303,May-74,,,X
1304,May-74,,,X
1305,May-74,,,X
1306,May-74,,,X
1307,May-74,,,X
1308,May-74,,,X
1309,May-74,,,X
1310,May-74,,,X
1311,May-74,,,X
1312,May-74,,,X
1313,May-74,,,X
1314,May-74,,,X
1315,May-74,,,X
1316,May-74,,,X
1317,May-74,,,X
1318,May-74,,,X
1319,May-74,,,X
1320,May-74,,,X
1321,May-74,,,X
1322,May-74,,,X
1323,May-74,,,X
1324,May-74,,,X
1325,May-74,,viburnum opulus nana   winter time,X
1326,May-74,,,X
1327,May-74,,,X
1328,May-74,,,X
1329,May-74,,,X
1330,May-74,,,X
1331,May-74,,,X
1332,May-74,,,X
1333,May-74,,,X
1334,May-74,,,X
1335,May-74,,,X
1336,May-74,,magnolia soulangeana,X
1337,May-74,,,X
1338,May-74,,,X
1339,May-74,,,X
1340,May-74,,,X
1341,May-74,,,X
1342,May-74,,,X
1343,May-74,,,X
1344,May-74,,,X
1345,May-74,,,X
1346,May-74,,,X
1347,May-74,,,X
1348,May-74,,,X
1349,Jul-74,,,X
1350,Aug-74,,,X
1351,Jul-74,,,X
1352,Jul-74,,Azalea Fedora,X
1353,Jul-74,,,X
1354,Jul-74,,,X
1355,Jul-74,,,X
1356,Jul-74,,magnolia liliflora niger,X
1357,Jul-74,,,X
1358,Jul-74,,hinodegiri,X
1359,Jul-74,,,X
1360,Jul-74,,,X
1361,Jul-74,,,X
1362,Jul-74,,,X
1363,Jul-74,,Ruby Dianthus in Flat Garden,X
1364,Jul-74,,,X
1365,Jul-74,,,X
1366,Jul-74,,,X
1367,Jul-74,,,X
1368,Jul-74,,,X
1369,Jul-74,,,X
1370,Jul-74,,,X
1371,Jul-74,,,X
1372,Jul-74,,,X
1373,Jul-74,,,X
1374,Jul-74,,,X
1375,Jul-74,,,X
1376,Jul-74,,,X
1377,Jul-74,,,X
1378,Jul-74,,,X
1379,Jul-74,,,X
1380,Jul-74,,,X
1381,Jul-74,,,X
1382,Jul-74,,,X
1383,Jul-74,,,X
1384,Jul-74,,,X
1385,Jul-74,,,X
1386,Jul-74,,,X
1387,Jul-74,,,X
1388,Jul-74,,,X
1389,Jul-74,,,X
1390,,,,X
1391,Jul-74,,,X
1392,Jul-74,,,X
1393,Jul-74,,,X
1394,Jul-74,,,X
1395,Jul-74,,,X
1396,Jul-74,,,X
1397,Jul-74,,,X
1398,Jul-74,,,X
1399,Jul-74,,,X
1400,Jul-74,,,X
1401,Jul-74,,,X
1402,Jul-74,,,X
1403,Jul-74,,,X
1404,Jul-74,,trimmed macrantha     Kornus kousa,X
1405,Jul-74,,,X
1406,Jul-74,,,X
1407,Jul-74,,,X
1408,Jul-74,,,X
1409,,,,X
1410,Aug-74,,,X
1411,Aug-74,,,X
1412,Aug-74,,,X
1413,Aug-74,,,X
1414,Aug-74,,,X
1415,Oct-74,,Spokane,
1416,Oct-74,,Spokane,
1417,Oct-74,,Spokane,
1418,Oct-74,,Spokane,
1419,Oct-74,,Spokane,
1420,Oct-74,,Spokane,
1421,Oct-74,,Spokane,
1422,Oct-74,,Spokane,
1423,Oct-74,,Spokane,
1424,Oct-74,,Spokane,
1425,Oct-74,,Spokane,
1426,Dec-74,,,X
1427,Dec-74,,Pinus thumbergeri    Japanese black pine,X
1428,Dec-74,,,X
1429,Dec-74,,,X
1430,Dec-74,,,X
1431,Dec-74,,,X
1432,Dec-74,,,X
1433,Dec-74,,,X
1434,Dec-74,,,X
1435,Dec-74,,,X
1436,Dec-74,,,X
1437,,,Taken in orient    Mrs. Avery slide,X
1438,Jan-75,,,X
1439,Jan-75,,,X
1440,Jan-75,,,X
1441,Jan-75,snow & ice scenes in garden,,X
1442,Jan-75,snow & ice scenes in garden,,X
1443,Jan-75,snow & ice scenes in garden,,X
1444,Jan-75,snow & ice scenes in garden,,X
1445,Jan-75,snow & ice scenes in garden,,X
1446,Jan-75,snow & ice scenes in garden,,X
1447,Jan-75,snow & ice scenes in garden,,X
1448,Jan-75,snow & ice scenes in garden,,X
1449,Jan-75,snow & ice scenes in garden,,X
1450,Jan-75,snow & ice scenes in garden,,X
1451,Jan-75,snow & ice scenes in garden,,X
1452,Jan-75,snow & ice scenes in garden,,X
1453,Jan-75,snow & ice scenes in garden,,X
1454,Jan-75,snow & ice scenes in garden,,X
1455,Jan-75,snow & ice scenes in garden,,X
1456,Jan-75,snow & ice scenes in garden,,X
1457,Mar-75,snow & ice scenes in garden,,X
1458,Mar-75,snow & ice scenes in garden,,X
1459,Mar-75,snow & ice scenes in garden,,X
1460,Mar-75,snow & ice scenes in garden,,X
1461,Mar-75,snow & ice scenes in garden,,X
1462,Mar-75,snow & ice scenes in garden,,X
1463,Mar-75,snow & ice scenes in garden,,X
1464,Mar-75,snow & ice scenes in garden,,X
1465,Mar-75,snow & ice scenes in garden,,X
1466,Mar-75,snow & ice scenes in garden,,X
1467,Mar-75,snow & ice scenes in garden,,X
1468,Mar-75,snow & ice scenes in garden,,X
1469,Mar-75,snow & ice scenes in garden,,X
1470,Mar-75,snow & ice scenes in garden,,X
