Slide #,Slide Mount Date,Subject,Slide Mount Notation,Scanned
5206,Aug-85,snow scenes in garden,,X
5206+,Aug-85,snow scenes in garden,,X
5207,Aug-85,snow scenes in garden,,X
5207+,Aug-85,snow scenes in garden,,X
5208,Aug-85,snow scenes in garden,,X
5208+,Aug-85,snow scenes in garden,,X
5209,Aug-85,snow scenes in garden,,X
5209+,Aug-85,snow scenes in garden,,X
5210,Aug-85,snow scenes in garden,,X
5210+,Aug-85,snow scenes in garden,East side pavilion,X
5211,Aug-85,snow scenes in garden,,X
5211+,Aug-85,snow scenes in garden,,X
5212,Aug-85,,"Seattle Japanese garden     May, 85",X
5212+,Aug-85,snow scenes in garden,,X
5213,Aug-85,,"Seattle Japanese garden     May, 85",X
5213+,Aug-85,snow scenes in garden,,X
5214,Aug-85,,"Seattle Japanese garden     May, 85",X
5214+,Aug-85,snow scenes in garden,,X
5215,Aug-85,snow scenes in garden,,X
5215+,Aug-85,snow scenes in garden,,X
5216,Aug-85,snow scenes in garden,,X
5216+,Aug-85,snow scenes in garden,,X
5217,Aug-85,snow scenes in garden,,X
5217+,Aug-85,snow scenes in garden,,X
5218,Aug-85,snow scenes in garden,,X
5218+,Aug-85,snow scenes in garden,,X
5219,Aug-85,snow scenes in garden,,X
5219+,Aug-85,snow scenes in garden,,X
5220,Aug-85,snow scenes in garden,,X
5220+,Aug-85,snow scenes in garden,,X
5221,Sep-85,,original postcard,X
5222,Aug-85,,,X
5223,Aug-85,,,X
5224,Aug-85,,,X
5225,Aug-85,,,X
5226,Aug-85,,,X
5227,Aug-85,,,X
5228,Aug-85,,,X
5229,Aug-85,,,X
5230,Aug-85,,,X
5231,Aug-85,,,X
5232,Aug-85,,,X
5233,Aug-85,,,X
5234,Aug-85,,,X
5235,Aug-85,,,X
5236,Aug-85,,,X
5237,Aug-85,,,X
5238,Aug-85,,,X
5239,Aug-85,,,X
5240,Aug-85,,,X
5241,Aug-85,,,X
5242,Aug-85,,,X
5243,Aug-85,,,X
5244,Aug-85,,,X
5245,Aug-85,,,X
5246,Aug-85,,,X
5247,Aug-85,,,X
5248,Aug-85,,,X
5249,Aug-85,,,X
5250,Aug-85,,,X
5251,Aug-85,,,X
5252,Aug-85,,,X
5253,Aug-85,,,X
5254,Aug-85,,,X
5255,Aug-85,,,X
5256,Aug-85,,,X
5257,Aug-85,,,X
5258,Aug-85,,,X
5259,Aug-85,,,X
5260,Aug-85,,,X
5261,Aug-85,,,X
5262,Aug-85,,,X
5263,Aug-85,,,X
5264,Aug-85,,,X
5265,Aug-85,,,X
5266,Aug-85,,,X
5267,Aug-85,,,X
5268,Aug-85,,,X
5269,Apr-85,,,X
5270,Apr-85,,,X
5271,Apr-85,,,X
5272,Apr-85,,,X
5273,Oct-85,,,X
5274,Oct-85,,,X
5275,Oct-85,,,X
5276,Oct-85,,,X
5277,Oct-85,,,X
5278,Oct-85,,,X
5279,Oct-85,,,X
5280,Oct-85,,,X
5281,Oct-85,,,X
5282,Oct-85,,,X
5283,Oct-85,,,X
5284,Oct-85,,,X
5285,Oct-85,,,X
5286,Oct-85,,,X
5287,Oct-85,,,X
5288,Oct-85,,,X
5289,Oct-85,,,X
5290,Oct-85,,,X
5291,Oct-85,,,X
5292,Oct-85,,,X
5293,Oct-85,,,X
5294,Oct-85,,,X
5295,Oct-85,,,X
5296,Oct-85,,,X
5297,Oct-85,,,X
5298,Oct-85,,,X
5299,Oct-85,,,X
5300,Oct-85,,,X
5301,Oct-85,,,X
5302,Oct-85,,,X
5303,Oct-85,,,X
5304,Oct-85,,,X
5305,Oct-85,,,X
5306,Oct-85,,,X
5307,Oct-85,,,X
5308,Oct-85,,,X
5309,Oct-85,,,X
5310,Oct-85,,,X
5311,Oct-85,,,X
5312,Oct-85,,,X
5313,Oct-85,,,X
5314,Oct-85,,,X
5315,Oct-85,,,X
5316,Oct-85,,,X
5317,Oct-85,,,X
5318,Oct-85,,,X
5319,Oct-85,,,X
5320,Oct-85,,,X
5321,Oct-85,,,X
5322,Jan-86,,fall 85,X
5323,Jan-86,,,X
5324,Jan-86,,,X
5325,Jan-86,,,X
5326,Jan-86,,,X
5327,May-86,,,X
5328,Jan-86,,,X
5329,Jan-86,,postcard,X
5330,Jan-86,,,X
5331,Jan-86,,,X
5332,Jan-86,,,X
5333,Jan-86,,,X
5334,Jan-86,,,X
5335,Jan-86,,,X
5336,Jan-86,,,X
5337,Jan-86,,,X
5338,Jan-86,,,X
5339,Jan-86,,,X
5340,Jan-86,,,X
5341,Jan-86,,,X
5342,Jan-86,,,X
5343,Jan-86,,,X
5344,Jan-86,,,X
5345,Jan-86,,,X
5346,Jan-86,,,X
5347,Jan-86,,Sister city lantern from Sapporo,X
5348,Jan-86,,,X
5349,Jan-86,,,X
5350,Jan-86,,,X
5351,Jan-86,,,X
5352,Jan-86,,,X
5353,Jan-86,,,X
5354,Jan-86,,,X
5355,Jan-86,,,X
5356,Jan-86,,neg,X
5357,Jan-86,,,X
5358,Jan-86,,,X
