time,cloudCover,windBearing
1484402400,0,58
1484406000,0,7
1484409600,0,81
1484413200,0.12,48
1484416800,0.12,353
1484420400,0.12,22
1484424000,0,352
1484427600,0.05,346
1484431200,0.12,340
1484434800,0.12,350
1484438400,0.19,351
1484442000,0.09,345
1484445600,0.09,60
1484449200,0,1
1484452800,0,0
1484456400,0,19
1484460000,0.11,350
1484463600,0,26
1484467200,0,122
1484470800,0,87
1484474400,0,72
1484478000,0.04,114
1484481600,0.18,133
1484485200,0.1,126
1484488800,0.09,124
1484492400,0.02,159
1484496000,0,139
1484499600,0.05,147
1484503200,0.09,159
1484506800,0.07,159
1484510400,0.05,246
1484514000,0,214
1484517600,0,231
1484521200,0,281
1484524800,0.19,336
1484528400,0.12,58
1484532000,0.12,169
1484535600,0.16,144
1484539200,0.05,196
1484542800,0.05,124
1484546400,0.14,121
1484550000,0,123
1484553600,0,151
1484557200,0.18,128
1484560800,0.08,149
1484564400,0.21,126
1484568000,0.19,120
1484571600,0.12,143
1484575200,0.05,155
1484578800,0.1,141
1484582400,0.16,140
1484586000,0.2,142
1484589600,0.28,181
1484593200,0.31,177
1484596800,0.31,174
1484600400,0.31,170
1484611200,0.54,153
1484632800,1,159
1484654400,1,174
1484676000,0.75,158
1484697600,1,158
1484719200,1,149
1484740800,1,141
1484762400,1,136
1484766000,0.31,146
1484769600,0.31,144
1484773200,0.31,134
1484776800,0.31,136
1484784000,1,142
1484787600,0.31,132
1484805600,1,155
1484812800,0.31,172
1484816400,0.22,156
1484820000,0.26,164
1484827200,0.45,160
1484830800,0.31,150
1484838000,0,149
1484845200,0.31,163
1484848800,0.56,164
1484863200,0.31,176
1484866800,0.31,169
1484870400,0.7,163
1484892000,0.62,132
1484895600,0.18,138
1484899200,0.2,136
1484902800,0.09,103
1484906400,0,49
1484910000,0.06,53
1484913600,0.14,44
1484917200,0.02,36
1484920800,0.08,41
1484924400,0.03,53
1484928000,0.11,54
1484931600,0.21,58
1484935200,0.26,39
1484938800,0.21,48
1484942400,0.31,77
1484946000,0.31,95
1484953200,0.31,85
1484956800,0.63,318
1484960400,0.31,122
1484964000,0.31,142
