Slide #,Slide Mount Date,Subject,Slide Mount Notation,Scanned
4923,May-84,,neg.  Now in storage   postcard,X
4924,May-84,,,X
4925,May-84,,,X
4926,May-84,,,X
4927,May-84,,,X
4928,May-84,,,X
4929,May-84,,,X
4930,May-84,,,X
4931,May-84,,,X
4932,May-84,,,X
4933,May-84,,,X
4934,May-84,,,X
4935,May-84,,,X
4936,May-84,,Mt. Fuji cherry,X
4937,May-84,,,X
4938,May-84,,deer chaser,X
4939,May-84,,upper pond,X
4940,May-84,,,X
4941,May-84,,,X
4942,May-84,,,X
4943,May-84,,,X
4944,May-84,,,X
4945,May-84,,,X
4946,May-84,,,X
4947,May-84,,,X
4948,May-84,,,X
4949,May-84,,,X
4950,May-84,,,X
4951,May-84,,,X
4952,,,in 9  folder,X
4953,May-84,,,X
4954,May-84,,,X
4955,May-84,,,X
4956,May-84,,,X
4957,May-84,,,X
4958,May-84,,,X
4959,May-84,,,X
4960,May-84,,,X
4961,May-84,,,X
4962,May-84,,,X
4963,May-84,,,X
4964,May-84,,,X
4965,Jun-84,,,X
4966,Jun-84,,,X
4967,Jun-84,,,X
4968,Jun-84,,,X
4969,Jun-84,,folder postcard,X
4970,Jun-84,,,X
4971,Jun-84,,,X
4972,,,Agfachrome,X
4973,,,,X
4974,,,,X
4975,,,,X
4976,,,,X
4977,,,,X
4978,,,,X
4979,,,,X
4980,,,,X
4981,,,,X
4982,Jul-84,,,X
4983,Jul-84,,,X
4984,Jul-84,,,X
4985,Jul-84,,postcard,X
4986,Jul-84,,no good,X
4987,Jul-84,,,X
4988,Jul-84,,,X
4989,Jul-84,,,X
4990,Jul-84,,,X
4991,Jul-84,,,X
4992,Jul-84,,,X
4993,Jul-84,,,X
4994,Jul-84,,,X
4995,Jul-84,,,X
4996,Jul-84,,,X
4997,Jul-84,,,X
4998,Jul-84,,,X
4999,Jul-84,,,X
5000,Jul-84,,,X
