Slide #,Slide Mount Date,Subject,Slide Mount Notation,Scanned
3001,Aug-80,,,X
3002,Aug-80,,,X
3003,Aug-80,,,X
3004,Aug-80,,,X
3005,Aug-80,,,X
3006,Aug-80,,,X
3007,Aug-80,,,X
3008,Aug-80,,,X
3009,Aug-80,,,X
3010,Aug-80,,,X
3011,Aug-80,,,X
3012,Jul-80,,,X
3013,Jul-80,,,X
3014,Jul-80,,,X
3015,Jul-80,,,X
3016,Jul-80,,,X
3017,Jul-80,,,X
3018,Jul-80,,,X
3019,Jul-80,,,X
3020,Jul-80,,,X
3021,Nov-80,,,X
3022,Nov-80,,,X
3023,Nov-80,,,X
3024,Nov-80,,,X
3025,Nov-80,,,X
3026,Nov-80,June Moriyasu,,X
3027,Nov-80,,,X
3028,Nov-80,,,X
3029,Nov-80,,,X
3030,Jan-81,Oban?,People & preist      Avery photo   1980,X
3031,Jan-81,,Upper pond.  Avery photo,X
3032,Jan-81,,Kasuga lantern.  Avery photo,X
3033,Jan-81,,Pavilion in the moonlight.  Avery photo,X
3034,Jan-81,,,X
3035,Jan-81,,,X
3036,Nov-80,,,X
3037,Nov-80,,,X
3038,Nov-80,,,X
3039,Nov-80,,,X
3040,Nov-80,,,X
3041,Nov-80,,,X
3042,Nov-80,,,X
3043,Nov-80,,,X
3044,Nov-80,,,X
3045,Nov-80,,,X
3046,Nov-80,,,X
3047,Nov-80,,,X
3048,Nov-80,,,X
3049,Nov-80,,,X
3050,Nov-80,,,X
3051,Nov-80,,,X
3052,Nov-80,,,X
3053,Nov-80,,,X
3054,Dec-80,,,X
3055,Dec-80,,,X
3056,Dec-80,,,X
3057,Dec-80,,,X
3058,Dec-80,,,X
3059,Dec-80,,,X
3060,Dec-80,,,X
3061,Dec-80,,,X
3062,Dec-80,,,X
3063,Dec-80,,,X
3064,Dec-80,,,X
3065,Dec-80,,,X
3066,Dec-80,,,X
3067,Dec-80,,,X
3068,Dec-80,,,X
3069,Dec-80,,,X
3070,Dec-80,,,X
3071,Dec-80,,,X
3072,Dec-80,,,X
3073,Dec-80,,,X
3074,Dec-80,,,X
3075,Dec-80,,,X
3076,Dec-80,,,X
3077,Oct-81,,,X
3078,Dec-80,,,X
3079,Dec-80,,,X
3080,Dec-80,,,X
3081,Dec-80,,,X
3082,Nov-80,,,X
3083,Nov-80,,,X
3084,Nov-80,,,X
3085,Nov-80,,,X
3086,Nov-80,,,X
3087,Nov-80,,,X
3088,Nov-80,,,X
3089,Nov-80,,,X
3090,Nov-80,,,X
3091,Nov-80,,,X
3092,Nov-80,,,X
3093,Nov-80,,,X
3094,Nov-80,,,X
3095,Nov-80,,,X
3096,Nov-80,,,X
3097,Nov-80,,,X
3098,Nov-80,,,X
3099,Nov-80,,,X
3100,Nov-80,,,X
3101,Nov-80,,Natural garden,X
3102,Nov-80,,,X
3103,Nov-80,,,X
3104,Nov-80,,,X
3105,Nov-80,,,X
3106,Nov-80,,,X
3107,Nov-80,,,X
3108,Nov-80,,,X
3109,Nov-80,,,X
3110,Nov-80,,,X
3111,Nov-80,,,X
3112,Nov-80,,,X
3113,Nov-80,,,X
3114,Nov-80,,,X
3115,Nov-80,,,X
3116,Nov-80,,,X
3117,Nov-80,,,X
3118,Jan-81,,,X
3119,Jan-81,,,X
3120,Jan-81,,,X
3121,Jan-81,,,X
3122,Jan-81,,,X
3123,Jan-81,,,X
3124,Jan-81,,,X
3125,Jan-81,,,X
3126,Jan-81,,,X
3127,Jan-81,,,X
3128,Jan-81,,,X
3129,Jan-81,,,X
3130,Jan-81,,,X
3131,Jan-81,,,X
3132,Jan-81,,,X
3133,Jan-81,,,X
3134,Jan-81,,,X
3135,Jan-81,,,X
3136,Jan-81,,,X
3137,Jan-81,,,X
3138,Jan-81,,,X
3139,Jan-81,,,X
3140,Jan-81,,,X
3141,Jan-81,,,X
3142,Jan-81,,,X
3143,Jan-81,,,X
3144,Jan-81,,,X
3145,Jan-81,,,X
3146,Apr-81,,,X
3147,Apr-81,,,X
3148,Apr-81,,,X
3149,Apr-81,,,X
3150,Apr-81,,,X
3151,Apr-81,,,X
3152,Apr-81,,,X
3153,Apr-81,,,X
3154,Apr-81,,,X
3155,Apr-81,,Skimmia japonica,X
3156,Apr-81,,,X
3157,Apr-81,,,X
3158,Apr-81,,,X
3159,Apr-81,,,X
3160,Apr-81,,,X
3161,Apr-81,,,X
3162,Apr-81,,,X
3163,Apr-81,,,X
3164,Apr-81,,,X
3165,Apr-81,,,X
3166,Apr-81,,,X
3167,Apr-81,,,X
3168,Apr-81,,,X
3169,Apr-81,,,X
3170,Apr-81,,,X
3171,Nov-82,,,X
3172,Apr-81,,,X
3173,Apr-81,,,X
3174,Apr-81,,,X
3175,Apr-81,,,X
3176,Apr-81,,,X
3177,Apr-81,,,X
3178,Apr-81,,,X
3179,Apr-81,,,X
3180,Apr-81,,Flat garden.  Camelia williamsonia hybrid,X
3181,Apr-81,,,X
3182,May-81,,,X
3183,May-81,,,X
3184,May-81,,,X
3185,May-81,,,X
3186,May-81,,,X
3187,May-81,,,X
3188,May-81,,,X
3189,May-81,,,X
3190,,,,X
3191,May-81,,,X
3192,May-81,,,X
3193,May-81,,,X
3194,May-81,,,X
3195,May-81,,,X
3196,May-81,,,X
3197,May-81,,,X
3198,May-81,,,X
3199,May-81,,,X
3200,May-81,,,X
3201,May-81,,,X
3202,May-81,,,X
3203,May-81,,,X
3204,May-81,,,X
3205,May-81,,,X
3206,May-81,,,X
3207,May-81,,,X
3208,May-81,,,X
3209,May-81,,,X
3210,May-81,,,X
3211,May-81,,,X
3212,May-81,,,X
3213,May-81,,,X
3214,May-81,,The Japanese Garden,X
3215,May-81,,,X
3216,May-81,,,X
3217,May-81,,,X
3218,May-81,,,X
3219,May-81,,,X
3220,May-81,,,X
3221,May-81,,,X
3222,May-81,,,X
3223,May-81,,,X
3224,May-81,,,X
3225,May-81,,,X
3226,May-81,,,X
3227,May-81,,,X
3228,May-81,,,X
3229,May-81,,,X
3230,May-81,,,X
3231,May-81,,,X
3232,May-81,,,X
3233,May-81,,,X
3234,May-81,,Azalea Hino Crimson,X
3235,May-81,,,X
3236,May-81,,,X
3237,May-81,,,X
3238,May-81,,,X
3239,May-81,,,X
3240,May-81,,,X
3241,May-81,,,X
3242,May-81,,,X
3243,May-81,,,X
3244,May-81,,,X
3245,Jun-81,,,X
3246,Jun-81,,,X
3247,Jun-81,,,X
3248,Jun-81,,,X
3249,Jun-81,,,X
3250,Jun-81,,,X
3251,Jun-81,,,X
3252,Jun-81,,,X
3253,Jun-81,,,X
3254,Jun-81,,,X
3255,Jun-81,,,X
3256,Jun-81,,,X
3257,Jun-81,,,X
3258,Jun-81,,,X
3259,Jun-81,,,X
3260,Jun-81,,,X
3261,Jun-81,,,X
3262,Jun-81,,,X
3263,Jun-81,,,X
3264,Jun-81,,,X
3265,Jun-81,,,X
3266,Jun-81,,,X
3267,Jun-81,,,X
3268,Jun-81,,,X
3269,Jun-81,,,X
3270,Jun-81,,,X
3271,Jun-81,,,X
3272,Jun-81,,,X
3273,Jun-81,,,X
3274,Jun-81,,,X
3275,Jun-81,,,X
3276,Jun-81,,,X
3277,Jun-81,,,X
3278,Jun-81,,,X
3279,Jun-81,,,X
3280,Jun-81,,,X
3281,Jun-81,,,X
3282,Jun-81,,,X
3283,Apr-04,,,X
3284,Jun-81,,,X
3285,Jun-81,,,X
3286,Jun-81,,,X
