Slide #,Slide Mount Date,Subject,Slide Mount Notation,Scanned
2001,Apr-85,,Pieris japanica   Andromeda,X
2002,Aug-78,,Viburnum opulus   nana,X
2003,Aug-78,,,X
2004,Aug-78,,,X
2005,Aug-78,,,X
2006,Aug-78,,,X
2007,Aug-78,,,X
2008,Aug-78,,,X
2009,Aug-78,,,X
2010,Aug-78,,,X
2011,Aug-78,,,X
2012,Aug-78,,,X
2013,Aug-78,,,X
2014,Aug-78,,,X
2015,Aug-78,,,X
2016,Aug-78,,,X
2017,Aug-78,,,X
2018,Aug-78,,,X
2019,Aug-78,,,X
2020,Aug-78,,,X
2021,Aug-78,,,X
2022,Aug-78,,,X
2023,Aug-78,,,X
2024,Aug-78,,,X
2025,Aug-78,,,X
2026,Aug-78,,,X
2027,Aug-78,,,X
2028,Aug-78,,,X
2029,Aug-78,,,X
2030,Aug-78,,,X
2031,Aug-78,,,X
2032,Aug-78,,Full picture,X
2033,Aug-78,,,X
2034,Aug-78,,,X
2035,Aug-78,,,X
2036,Aug-78,,,X
2037,Aug-78,,,X
2038,Aug-78,,,X
2039,Aug-78,,,X
2040,Aug-78,,Fly,X
2041,Aug-78,,,X
2042,Aug-78,,,X
2043,Aug-78,,Japanese iris   Strolling Pond Garden    #1274,X
2044,Aug-78,,,X
2045,Aug-78,,,X
2046,Aug-78,,,X
2047,Aug-78,,,X
2048,Aug-78,,,X
2049,Aug-78,,,X
2050,Aug-78,,,X
2051,Aug-78,,,X
2052,Aug-78,,,X
2053,Aug-78,,wishing tree,X
2054,Aug-78,,,X
2055,Sep-78,,,X
2056,Sep-78,,,X
2057,Sep-78,,,X
2058,Sep-78,,,X
2059,Sep-78,,,X
2060,Sep-78,,,X
2061,Sep-78,,,X
2062,Sep-78,,,X
2063,Sep-78,,,X
2064,Sep-78,,,X
2065,Sep-78,,,X
2066,Sep-78,,,X
2067,Sep-78,,,X
2068,Jan-79,,,X
2069,Dec-78,,,X
2070,Dec-78,,,X
2071,Dec-78,,,X
2072,Dec-78,,,X
2073,Dec-78,,,X
2074,Dec-78,,,X
2075,Dec-78,,,X
2076,Dec-78,,,X
2077,Dec-78,,,X
2078,Dec-78,,,X
2079,Dec-78,,,X
2080,Dec-78,,,X
2081,Dec-78,,,X
2082,Dec-78,,,X
2083,Dec-78,,,X
2084,Dec-78,,,X
2085,Dec-78,,,X
2086,Dec-78,,,X
2087,Dec-78,,,X
2088,Dec-78,,,X
2089,Dec-78,,,X
2090,Dec-78,,,X
2091,Dec-78,,,X
2092,Dec-78,,,X
2093,Dec-78,,,X
2094,Jan-79,,,X
2095,Dec-78,,,X
2096,Dec-78,,,X
2097,Dec-78,,,X
2098,Dec-78,,,X
2099,Dec-78,,footings for pavilion,X
2100,Dec-78,snow scene,,X
2101,Dec-78,snow scene,,X
2102,Dec-78,snow scene,,X
2103,Dec-78,snow scene,,X
2104,Dec-78,snow scene,,X
2105,Dec-78,snow scene,,X
2106,Dec-78,snow scene,,X
2107,Dec-78,snow scene,,X
2108,Dec-78,snow scene,,X
2109,Dec-78,snow scene,,X
2110,Dec-78,snow scene,,X
2111,Dec-78,snow scene,,X
2112,Dec-78,snow scene,,X
2113,Dec-78,snow scene,,X
2114,Dec-78,snow scene,,X
2115,Dec-78,snow scene,,X
2116,Dec-78,snow scene,,X
2117,Dec-78,snow scene,,X
2118,Dec-78,snow scene,,X
2119,Dec-78,snow scene,,X
2120,Dec-78,snow scene,,X
2121,Dec-78,snow scene,,X
2122,Dec-78,snow scene,,X
2123,Dec-78,snow scene,,X
2124,Dec-78,snow koto lantern,,X
2125,Dec-78,snow scene,,X
2126,Dec-78,snow scene,,X
2127,Dec-78,snow on snow viewing lantern,,X
2128,Dec-78,snow scene,,X
2129,Dec-78,snow scene,,X
2130,Nov-78,snow scene,,X
2131,Nov-78,snow scene,,X
2132,Nov-78,snow scene,,X
2133,Nov-78,snow scene,,X
2134,Nov-78,snow scene,,X
2135,Nov-78,snow scene,,X
2136,Nov-78,snow scene,,X
2137,Nov-78,snow scene,,X
2138,Nov-78,snow scene,,X
2139,Nov-78,snow scene,,X
2140,Nov-78,snow scene,,X
2141,Nov-78,snow scene, ,X
2142,Nov-78,snow scene,,X
2143,Nov-78,snow scene,,X
2144,Nov-78,snow scene,,X
2145,Nov-78,snow scene,,X
2146,Nov-78,snow scene,,X
2147,Nov-78,snow scene,,X
2148,Nov-78,snow scene,,X
2149,Nov-78,snow scene,,X
2150,Nov-78,snow scene,,X
2151,Nov-78,snow scene,,X
2152,Nov-78,snow scene,,X
2153,Nov-78,snow scene,,X
2154,Nov-78,snow scene,,X
2155,Nov-78,snow scene,,X
2156,Nov-78,snow scene,,X
2157,Nov-78,snow scene,,X
2158,Nov-78,snow scene,,X
2159,Nov-78,snow scene,,X
2160,Nov-78,snow scene,,X
2161,Nov-78,snow entry gate  ,,X
2162,Nov-78,snow scene,,X
2163,Nov-78,snow scene,,X
2164,Jan-79,snow & ice scene,,X
2165,Jan-79,snow & ice scene,,X
2166,Jan-79,snow & ice scene,,X
2167,Jan-79,snow & ice scene,,X
2168,Jan-79,snow & ice scene,,X
2169,Jan-79,Snow entry gate pinus contorta,,X
2170,Jan-79,snow & ice scene,,X
2171,Jan-79,snow & ice scene,,X
2172,Jan-79,ice on saporo pagoda  Jan. 79?,Iter negative postcard,X
2173,Jan-79,snow & ice scene,,X
2174,Jan-79,snow & ice scene,,X
2175,Jan-79,snow & ice scene,,X
2176,Jan-79,snow & ice scene,,X
2177,Jan-79,snow & ice scene,,X
2178,Jan-79,snow & ice scene,,X
2179,Jan-79,snow & ice scene,,X
2180,Jan-79,snow & ice scene,,X
2181,Jan-79,snow & ice scene,,X
2182,Jan-79,ice on tea garden gate,,X
2183,Jan-79,snow & ice scene,,X
2184,Jan-79,ice on moon bridge,,X
2185,Jan-79,snow & ice scene,,X
2186,Jan-79,snow & ice scene,,X
2187,Jan-79,ice on koto lantern,Ken lost #26,X
2188,Jan-79,ice on koto lantern,,X
2189,Jan-79,ice on wisteria arbor,,X
2190,Jan-79,snow & ice scene,,X
