Slide #,Slide Mount Date,Subject,Slide Mount Notation,Scanned
6001,Feb-88,,,X
6002,Feb-88,,,X
6003,Feb-88,,,X
6004,May-86,,Viburnum tomentosa  Japanese snowball,X
6005,Feb-88,,,X
6006,Feb-88,,,X
6007,Feb-88,,,X
6008,Feb-88,,,X
6009,Feb-88,,,X
6010,Feb-88,,,X
6011,Feb-88,,,X
6012,Mar-88,,,X
6013,Mar-88,,,X
6014,Mar-88,,,X
6015,Mar-88,,,X
6016,Mar-88,,,X
6017,Mar-88,,,X
6018,Mar-88,,,X
6019,Mar-88,,,X
6020,Apr-88,Robbie traditional clothes,,X
6021,Apr-88,Robbie traditional clothes,,X
6022,May-88,,,X
6023,May-88,,,X
6024,May-88,,,X
6025,May-88,,,X
6026,May-88,,,X
6027,May-88,,,X
6028,May-88,,,X
6029,May-88,,,X
6030,May-88,,,X
6031,May-88,,,X
6032,May-88,,,X
6033,May-88,,,X
6034,May-88,,,X
6035,May-88,,,X
6036,May-88,,,X
6037,May-88,,,X
6038,May-88,,Boone Canyon stone,X
6039,May-88,,"Boone Canyon stone, Lonerock, OR",X
6040,May-88,Boone Canyon stone,,X
6041,May-88,,,X
6042,May-88,,,X
6043,May-88,,,X
6044,May-88,,,X
6045,May-88,,,X
6046,May-88,,,X
6047,May-88,,,X
6048,May-88,,,X
6049,May-88,,,X
6050,May-88,,,X
6051,May-88,,,X
6052,May-88,,,X
6053,May-88,,,X
6054,May-88,,,X
6055,May-88,,,X
6056,May-88,,Flat garden,X
6057,May-88,,,X
6058,May-88,,internegative made  XXX,X
6059,May-88,, ,X
6060,May-88,,,X
6061,May-88,,,X
6062,May-88,,,X
6063,May-88,,,X
6064,May-88,,,X
6065,May-88,,,X
6066,May-88,,,X
6067,May-88,,natural garden    flyer 1992,X
6068,May-88,,,X
6069,May-88,,,X
6070,May-88,,,X
6071,May-88,,,X
6072,May-88,,,X
6073,May-88,,,X
6074,May-88,bonsai,,X
6075,May-88,,bonsai,X
6076,May-88,,,X
6077,May-88,,,X
6078,May-88,,,X
6079,May-88,,,X
6080,May-88,,,X
6081,May-88,,,X
6082,May-88,,,X
6083,May-88,,,X
6084,May-88,,,X
6085,May-88,,,X
6086,May-88,,,X
6087,May-88,,,X
6088,May-88,,,X
6089,May-88,,,X
6090,May-88,,,X
6091,May-88,,,X
6092,May-88,,,X
6093,May-88,,,X
6094,May-88,,,X
6095,May-88,,,X
6096,May-88,,Englehart   X,X
6097,May-88,,,X
6098,May-88,,Snitzer  XXX,X
6099,May-88,,,X
6100,May-88,,,X
6101,May-88,,,X
6102,May-88,,,X
6103,May-88,,,X
6104,Jul-88,,,X
6105,,,postcard,X
6106,Jul-88,,,X
6107,Jul-88,,,X
6108,Aug-88,,XXX,X
6109,Aug-88,,,X
6110,Aug-88,,,X
6111,Aug-88,,,X
6112,Aug-88,,,X
6113,Aug-88,,Obon   the best one   in newsletter  XXX,X
6114,Aug-88,,,X
6115,Aug-88,,,X
6116,Aug-88,,,X
6117,Aug-88,,,X
6118,Aug-88,,,X
6119,Sep-88,,XXX,X
6120,Nov-88,Vancouver BC,Queen Elizabeth Conservatory ,X
6121,Nov-88,,Seattle Japanese Garden,X
6122,Nov-88,Seattle Japanese Garden,,X
6123,Nov-88,Seattle Japanese Garden,,X
6124,Nov-88,Seattle Japanese Garden,,X
6125,Nov-88,Seattle Japanese Garden,,X
6126,,,city fog,X
6127,Nov-88,,,X
6128,Nov-88,,,X
6129,Nov-88,,,X
6130,Nov-88,,,X
6131,Nov-88,,,X
6132,Nov-88,,,X
6133,Nov-88,,,X
6134,Nov-88,,,X
6135,Nov-88,,,X
6136,Nov-88,,,X
6137,Nov-88,,,X
6138,Nov-88,,,X
6139,Nov-88,,,X
6140,Nov-88,,,X
6141,Nov-88,,,X
6142,Nov-88,,,X
6143,Nov-88,,,X
6144,Nov-88,,,X
6145,Nov-88,,used in newsletter,X
6146,Nov-88,,,X
6147,Nov-88,,,X
6148,Nov-88,,,X
6149,Nov-88,,,X
6150,Nov-88,,,X
6151,Nov-88,,XXX,X
6152,Nov-88,,,X
6153,Nov-88,,,X
6154,Nov-88,,X ,X
6155,Nov-88,,X,X
6156,Nov-88,,X,X
6157,Nov-88,,X,X
6158,Nov-88,,,X
6159,Nov-88,,Steve White,X
6160,Nov-88,,,X
6161,Nov-88,,,X
6162,Nov-88,,,X
6163,Nov-88,,,X
6164,Nov-88,,,X
6165,Nov-88,,,X
6166,Nov-88,,,X
6167,Nov-88,,,X
6168,Nov-88,,,X
6169,Nov-88,,,X
6170,Nov-88,,,X
6171,Nov-88,,,X
6172,Nov-88,,XX ,X
6173,Nov-88,,,X
6174,Nov-88,,,X
6175,Nov-88,,,X
6176,Nov-88,,,X
6177,Nov-88,,,X
6178,Nov-88,,,X
6179,Nov-88,,,X
6180,Nov-88,,,X
6181,Nov-88,,,X
6182,Nov-88,,,X
6183,Nov-88,,arbutus unedo  strawberry bush,X
